variant	bpc	seconds	rss_init_mb	delta_vs_gate24
dropA	1.709666	176.69	1396.1	-0.002301
pslot8	1.710254	187.85	1480.1	-0.001713
pslot4	1.710459	171.11	1432.0	-0.001508
cm_drop:paramod	1.711364	235.58	1528.1	-0.000603
cm_drop:nestmod	1.711424	169.10	1528.1	-0.000543
cm_drop:infokeymod	1.711532	226.92	1528.1	-0.000435
cm_drop:linkpipemod	1.711657	234.04	1528.1	-0.000310
cm_drop:tplmod	1.711663	230.30	1528.1	-0.000304
cm_drop:o6b	1.711747	239.71	1528.1	-0.000220
cm_drop:headingmod	1.711800	223.01	1528.2	-0.000167
cm_drop:capmaskmod	1.711904	146.76	1528.1	-0.000063
pcap20	1.711940	207.04	1420.1	-0.000027
base2	1.711967	220.28	1528.0	+0.000000
pcap18	1.711979	191.31	1393.0	+0.000012
cm_drop:linemod	1.711981	236.98	1528.2	+0.000014
mcap22	1.711986	229.60	1320.1	+0.000019
cm_drop:catmod	1.712001	230.23	1528.1	+0.000034
cm_drop:statemod	1.712013	230.99	1528.2	+0.000046
mcap21	1.712014	222.75	1216.1	+0.000047
cm_drop:titlemod	1.712037	145.37	1528.1	+0.000070
mcap20	1.712078	227.76	1164.1	+0.000111
cmcap23	1.712090	212.28	1240.1	+0.000123
cm_drop:wordlenmod	1.712130	141.34	1528.1	+0.000163
cm_drop:num	1.712206	143.10	1528.1	+0.000239
cmcap22	1.712360	211.39	1084.0	+0.000393
cm_drop:link	1.712370	146.67	1528.1	+0.000403
cm_drop:uppergapmod	1.712379	144.76	1528.2	+0.000412
cm_drop:sectitlemod	1.712505	146.93	1528.2	+0.000538
cm_drop:sp24	1.712506	141.70	1528.2	+0.000539
dropB	1.712549	167.83	1348.0	+0.000582
cm_drop:sentmem_cm	1.712596	164.09	1528.1	+0.000629
cm_drop:sp13	1.712623	142.54	1528.2	+0.000656
cm_drop:sengrp	1.712658	169.62	1528.2	+0.000691
cm_drop:tag	1.712685	145.10	1528.1	+0.000718
cm_drop:wikistackmod	1.712723	145.48	1528.2	+0.000756
cm_drop:wstr_sp	1.712745	145.18	1528.1	+0.000778
cm_drop:o1	1.713173	138.79	1528.1	+0.001206
cm_drop:sen	1.713248	144.29	1528.1	+0.001281
cm_drop:col	1.713256	143.05	1528.1	+0.001289
cm_drop:o6	1.713621	140.05	1528.2	+0.001654
cmcap21	1.713750	193.67	874.1	+0.001783
msk64	1.714247	206.70	1528.1	+0.002280
cm_drop:sentst	1.714747	141.77	1528.1	+0.002780
cm_drop:wbi	1.714757	143.58	1528.1	+0.002790
dropC	1.715275	166.15	1264.0	+0.003308
g1	1.715429	231.30	1528.2	+0.003462
g4	1.715540	211.31	1528.2	+0.003573
g5	1.715547	206.54	1528.2	+0.003580
g7	1.716030	221.46	1528.1	+0.004063
g6	1.716681	223.28	1528.1	+0.004714
cm_drop:o3	1.716846	140.67	1528.2	+0.004879
cmcap20	1.717267	182.87	769.1	+0.005300
cm_drop:brk	1.717639	147.51	1528.2	+0.005672
g3	1.717763	214.87	1528.2	+0.005796
cm_drop:o2	1.718271	136.55	1528.1	+0.006304
msk128	1.718788	210.62	1528.0	+0.006821
g8	1.719109	219.68	1528.1	+0.007142
cm_drop:o4	1.721047	139.18	1528.1	+0.009080
g9	1.721575	145.52	1528.2	+0.009608
g2	1.726210	227.58	1528.1	+0.014243
msk256	1.726901	212.13	1528.1	+0.014934
g0	1.729656	211.68	1528.1	+0.017689
cm_drop:word	1.736835	140.70	1528.1	+0.024868
